user_id,subj_id,device_id,cohort_id,dropped,drop_type,rank,rank_date,pref,rtc_checkin_date,brpc_attempts,pop,mos,pebd,eas,dob,ht,wt,area_code,married,city,state,hs_name,hs_city,hs_state,hs_grad_year,hs_sports,hs_clubs,college_name,college_city,college_state,college_grad_year,college_sports,college_clubs,hobbies,swimming_exp,workout_exp,DOR_Time,DOR_Activity,drop_date,age,height,weight
73,311a1ef1-876f-414a-ad8f-8c382501a9a9,16,1,True,Pass,HN,2023-02-28,NAV,20180410,2,MD,244,2021-07-16,2031-07-17,1995-11-13,71,135,592,N,Williamsmouth,AL,Kerr-Tate,Lake Robin,AS,2016,1,3,Holt Inc,West Sharon,SD,2009,NA,3,Fill drive cultural young arm particular.,2,2,NA,V,NA,23,64,174
74,7983dd40-288a-4ce0-93de-7f33cc9e599b,5,2,True,Pass,PFC,2019-02-28,MCT/HZ,20181707,1,CA,716,2016-02-17,2029-03-06,1983-11-15,71,135,159,N,Melissaberg,KY,Small-Anderson,Port Andrewborough,UT,2009,2,2,"Park, Boyd and Obrien",NA,NH,NA,3,NA,Official none sport fall middle.,3,2,14:56:49,NA,NA,20,72,177
75,6d33980a-270c-498f-9632-67a9a99f9b75,20,1,False,Pass,SGT,2019-12-06,UH,20186300,1,MI,822,2022-12-23,2024-01-19,1985-07-10,66,200,218,N,Gonzalezton,WV,Riley-Miles,Dawsonmouth,AS,2018,3,4,Smith-Gilbert,Lake Barbara,NA,NA,NA,NA,Require everybody strategy join.,1,2,11:56:15,NA,2016-04-24,47,71,142
76,fcb9e010-8fab-4de8-a696-b795897e1e9e,3,2,False,Pass,SGT,2015-02-25,UH,NA,3,DC,258,2018-12-30,2024-05-07,1975-10-18,66,139,478,N,Port Anthonyside,WY,Hernandez-Kelly,Matthewtown,DE,2011,1,1,NA,NA,NA,2018,NA,NA,Picture third chair.,1,3,07:33:44,NA,NA,37,62,140
77,c9bf3ebc-0977-4edc-87b8-267bb22de162,13,2,False,Pass,PFC,2023-04-17,ALAT,20187309,1,KS,508,2015-12-28,2028-03-21,1983-06-18,65,199,613,N,East Michael,ND,Mccoy LLC,Maryburgh,WV,2013,0,2,NA,Port Jasonmouth,VA,2000,4,1,Always myself region hear nation what ready.,2,2,NA,H,2017-08-12,49,64,144
78,7514d096-021a-4acf-8194-6ed12840ff91,3,1,False,DOR,SGT,2022-03-22,NAV,NA,2,SD,132,2017-06-16,2025-09-29,2001-09-12,75,148,396,N,South Dianashire,VT,"Barnes, Miller and Diaz",Wallaceton,OR,2009,4,1,Perkins Ltd,East Rebekah,NA,2004,NA,4,Myself bad investment even address.,2,1,NA,NA,NA,24,69,146
79,0f00da69-4674-48d1-9416-533e51299bc9,12,1,False,DOR,SGT,2019-08-14,UH,NA,1,MT,322,2017-12-10,2028-05-09,1973-04-03,65,180,419,N,Walkerhaven,PW,Miller Inc,Moorefurt,OK,2016,1,2,Williams-Chase,NA,ND,2014,NA,NA,Watch reveal continue attention.,1,3,09:09:02,F,2021-04-05,27,75,187
80,a0520a4d-833b-46a8-b2ef-673af0e3c16d,18,1,True,DOR,PFC,2020-04-15,NAV,NA,1,CA,533,2013-11-13,2025-03-03,2000-01-29,66,161,311,N,Lake Christopher,FM,Weber-Jones,Port Joanna,SD,2005,4,1,NA,Nicholasstad,NA,2017,NA,2,Lead activity network political guy.,2,3,12:13:14,I,NA,28,63,175
81,7f00fc49-86e8-404b-9e34-4bd4e00cb549,9,1,False,DOR,PFC,2018-04-24,MCT/HZ,NA,1,TX,470,2019-10-24,2031-08-30,2001-10-27,69,147,467,N,Port Maurice,DE,Bell-Davis,West Katrina,IN,2001,3,4,Bowman-Black,Courtneyborough,MH,NA,NA,NA,Live actually sound while nature.,2,2,10:46:17,NA,2016-10-25,32,66,196
82,428310ca-1fb7-4c3f-8040-865c267597b7,17,2,True,Pass,SGT,2023-07-25,ALAT,20180797,2,NC,220,2021-11-05,2030-04-01,1981-02-18,69,173,931,N,Anthonyfurt,MO,Stewart-Larson,West Cynthiatown,MT,2011,3,2,"Patrick, Richards and Jones",South Lauramouth,NV,2002,NA,NA,Reason beat most small better middle.,1,3,NA,NA,2015-08-30,45,72,161
83,11159831-6cab-49c6-8181-94c8974f533d,10,2,False,Pass,PFC,2022-07-30,MCT/HZ,NA,3,RI,432,2021-12-15,2028-06-04,1986-03-06,60,155,879,N,Johnberg,MO,Daniels-Armstrong,Stephaniemouth,PA,2005,2,1,Miller-Bennett,NA,NA,2011,NA,2,Catch maybe why item hundred hospital.,3,1,NA,K,NA,29,57,200
84,be12af2b-65b1-47ba-be95-5e64f92a18b1,15,2,False,Pass,SGT,2022-04-10,ALAT,NA,1,MO,735,2022-07-21,2023-12-06,1996-08-04,64,149,979,N,Port Jesus,UT,Farmer Group,New Christinashire,UT,2017,4,2,Jones LLC,NA,NM,2007,NA,NA,Why figure order light.,2,2,NA,NA,NA,50,56,145
85,9668b5d2-b3f5-4216-84b1-62c5b85d3e96,11,1,True,Pass,SGT,2014-09-29,NAV,NA,2,RI,584,2014-07-08,2027-02-15,1988-08-10,66,183,494,N,East Brian,WI,Williams-Edwards,West Jenniferside,MP,2005,3,0,Lynch and Sons,NA,PR,2010,0,NA,Mission respond study beautiful few cut.,1,2,NA,N,NA,23,59,148
86,2239c4c9-bdcb-41e0-8fa4-3d5065fd6326,18,1,True,Pass,HN,2021-10-04,MCT/HZ,NA,2,FM,523,2021-10-16,2027-08-29,1992-05-26,65,184,409,N,Lauraborough,GU,Hartman-Yoder,Port Angelamouth,VA,2015,0,1,Taylor-Price,NA,AS,NA,2,NA,Where wear fear road city say.,1,1,NA,R,NA,46,57,141
87,d0cf33e2-8090-4427-93d4-9010a2e49479,4,1,True,DOR,PFC,2022-01-15,NAV,NA,2,SD,955,2014-12-03,2027-04-30,1973-12-23,70,161,386,N,New Joseph,VA,Martinez PLC,South Timothy,VA,2019,1,3,NA,NA,NA,NA,3,NA,Sense age focus hear doctor chair great nice.,1,3,NA,Q,NA,20,70,186
88,3d8916f2-2826-419b-b5c8-ced1583c1932,4,1,False,Pass,SGT,2017-11-09,UH,NA,3,MS,730,2018-12-28,2026-08-03,1973-11-03,74,180,979,N,Jonathanhaven,AK,Wilcox-Jackson,North Jamie,NE,2002,0,0,Forbes and Sons,NA,ME,2015,NA,1,Game about worker position machine paper measure other.,1,3,NA,NA,2022-02-05,48,61,142
89,a81efa06-fd39-41a2-81c8-744cc90c81d2,15,2,False,Pass,HN,2016-11-28,NAV,20182349,3,HI,578,2022-05-29,2031-08-06,1992-05-28,62,155,484,N,Shawnberg,NE,Medina PLC,Greeneland,MD,2018,0,3,Heath-Smith,Whitetown,NA,2013,2,2,Feeling environmental live charge five friend yourself.,2,3,17:45:47,NA,2021-01-14,27,65,200
90,d222ac9b-60a7-4c49-9d9a-7b9c67e7bbe9,9,1,False,DOR,PFC,2022-05-13,UH,20187543,1,TX,517,2021-06-07,2030-11-13,1992-07-08,69,151,304,N,West Andrewfort,ID,"Huerta, Clark and Murray",Kathleenmouth,VI,2013,4,4,NA,NA,NA,NA,1,NA,Information seat rock value apply teacher dream born.,3,2,NA,NA,2016-04-21,38,72,194
91,25e797ef-2123-43e2-b221-aef49ade89bf,20,2,False,Pass,PFC,2015-05-12,ALAT,20187212,3,GA,400,2018-03-08,2029-03-17,2001-01-12,75,138,482,N,Hillbury,OK,Hurst Inc,South Christina,MP,2012,2,0,"Clark, Brown and Woodard",NA,PW,NA,0,NA,Exist of condition.,3,1,07:40:31,D,2016-11-08,20,60,146
92,94bb62db-dd20-43f2-b70c-61abb888a522,1,1,False,Pass,HN,2018-06-08,ALAT,20184736,1,PA,500,2019-11-22,2024-08-31,1989-12-05,70,147,388,N,West Laurenfort,WY,"Rodgers, Meyers and Carpenter",Port William,TN,2020,3,2,Jones and Sons,NA,NA,2010,NA,1,Again under at raise defense key through.,2,3,NA,Q,NA,20,62,193
93,e5ceddf8-f3ec-4b82-8c70-fa9c10c8fa81,9,1,True,DOR,HN,2020-10-20,UH,NA,3,MD,208,2016-05-07,2024-07-01,1997-08-08,66,154,437,N,Stevetown,NE,Price-Jarvis,Jeffreyfurt,ID,2011,4,3,York LLC,NA,UT,2016,NA,1,Matter cold four remain middle hour hundred.,3,2,16:32:49,E,NA,48,57,159
94,2f0e8dee-2e90-4616-a513-91f4a9ec4a12,5,2,True,Pass,PFC,2022-08-04,ALAT,NA,3,ME,423,2019-10-04,2032-01-19,1982-08-25,65,132,882,N,Rachelstad,NM,"Lane, Rogers and Martinez",Haroldton,TN,2020,1,2,Logan PLC,NA,SC,2006,NA,NA,How threat window song tree treatment.,1,3,04:06:58,T,NA,32,72,187
95,410a7ed8-38b3-4bc9-a754-d1f610e93519,19,2,False,DOR,HN,2015-09-18,UH,NA,3,AS,787,2019-12-20,2024-05-13,1992-04-22,68,170,561,N,South Sara,WV,Solomon-Cordova,South Darlene,MT,2008,3,2,Nelson Inc,NA,NA,NA,NA,NA,Television activity enough.,3,2,15:53:28,G,2020-02-04,29,67,150
96,52720800-1d11-4632-beb7-10395da3e28b,13,2,True,Pass,PFC,2020-02-03,ALAT,20182878,2,MD,927,2022-02-16,2027-01-01,1981-08-01,61,179,316,N,New Brendan,NV,"Perez, Bell and Miller",South Nicoleview,RI,2019,2,4,Fitzpatrick-Bell,South Josephton,NA,NA,NA,1,Father on full base.,2,1,NA,U,2023-08-13,27,66,182
97,baf5cb79-cde4-4b36-adf2-e42208efef75,10,1,False,DOR,HN,2013-12-18,ALAT,20185132,1,AS,330,2014-03-13,2027-02-02,1982-09-10,64,196,501,N,New David,PW,Green-Williams,Alvarezfurt,WI,2018,3,0,NA,NA,MD,NA,0,2,Person fast decision out box lay.,1,2,NA,L,2018-10-24,28,73,200
98,f7824930-8a9c-4f23-af7f-cc9562832105,12,2,True,Pass,HN,2016-10-29,UH,NA,3,VA,901,2018-04-11,2029-03-13,1980-04-07,63,183,374,N,New Patriciaport,TX,"Smith, Dunn and Snyder",Murrayside,KS,2019,4,3,Wyatt-Brown,NA,NA,2005,2,3,Field daughter risk national away cultural.,1,2,22:23:49,NA,2016-05-07,36,67,143
99,9a4e70bd-d4a9-4aa8-b9d1-fbeac0aacef7,3,2,True,DOR,PFC,2013-12-12,NAV,NA,2,DC,670,2023-09-20,2025-05-15,1981-07-15,68,198,661,N,North Katrina,AZ,Sutton PLC,West Ann,LA,2014,2,0,Hall Inc,NA,NC,NA,3,3,Worry evidence strong life yeah.,2,2,10:04:53,O,2014-02-19,43,69,191
100,79f4e07a-150f-4c7f-ba64-9f8f69f1d82d,4,1,True,Pass,HN,2015-03-14,UH,NA,1,MS,135,2017-10-30,2027-05-30,1980-06-09,68,147,558,N,South Catherinetown,MS,Hardy PLC,New Charles,NE,2013,3,4,"Parker, Turner and Kelley",NA,NV,2003,NA,NA,American thing camera use.,1,2,06:40:52,K,2019-06-17,33,58,185
